name,hostname,IC,disposition,period,rade,rade_est,rade_err1,rade_err2,radj,radj_est,radj_err1,radj_err2,masse,masse_est,masse_err1,masse_err2,massj,massj_est,massj_err1,massj_err2,tran_depth_ppm,tran_dur_hr,semi_au,eccen,insol,distance_pc,year_discovered,year_confirmed,discoverymethod,facility,st_mass,st_rad,st_teff,st_log_lum,Jmag,Kmag,ra,dec,flag_tran,flag_kepler,flag_k2,url
TOI-5274.01,TIC 356682805,356682805.0,Candidate,6.1313492,4.806196139605263,,,,0.42878083698898245,,,,,20.634956080060643,,,,0.06492483255713613,,,3730.0,2.447,0.057367882330047366,,55.17815437964415,245.857,2022,,Transit,TESS,0.67,0.764277,4310.0,-0.7408951926789296,12.094,11.342,174.64475,72.26534444444444,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=356682805
TOI-5276.01,TIC 282935857,282935857.0,Candidate,2.3612205,13.50956453925926,,1.0218460764444444,-1.0218460764444444,1.2052446929425598,,0.09116315755847243,-0.09116315755847243,,516.0557026732293,,,,1.6236928228109988,,,2410.0,2.303,0.035046389921783515,,5895.237339890851,749.716,2022,,Transit,TESS,1.03,2.69648,5766.0,0.8597878714181499,10.896,10.571,313.17504166666663,25.502872222222223,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=282935857
TOI-5277.01,TIC 276381737,276381737.0,Candidate,15.9929608,13.491875290909089,,,,1.2036665611949207,,,,,531.6540555079066,,,,1.6727707293512086,,,7870.0,3.747,0.130530427941903,,177.1240827908254,876.326,2022,,Transit,TESS,1.16,1.53921,6132.0,0.479701138020082,12.486,12.096,308.1192083333333,58.09546111111111,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=276381737
TOI-5278.01,TIC 264301607,264301607.0,Candidate,0.435434965011606,17.974871002406854,,8.748385941968003,-8.748385941968003,1.6036133377224189,,0.7804800589781531,-0.7804800589781531,,45614.03635313947,,,,143.5178083729654,,,104138.560297584,1.05299453402424,0.008089626622682542,,254.4132409840961,166.421,2022,,Transit,TESS,0.372494,0.383284,3349.0,-1.7786033351373585,13.312,12.532,295.8086666666666,66.571375,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=264301607
TOI-5279.01,TIC 7681574,7681574.0,Candidate,16.0104634,8.858655577572815,,0.7449215619320388,-0.7449215619320388,0.7903176738560562,,0.06645756468078579,-0.06645756468078579,,58.274715809242835,,,,0.18335276079825152,,,7450.0,2.151,0.12530712637263175,,65.75033424511606,440.9,2022,,Transit,TESS,1.024,1.02981,5733.36,0.01384950605633264,11.867,11.505,273.24041666666665,47.33620555555556,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=7681574
TOI-5280.01,TIC 194679333,194679333.0,Candidate,9.0165933,9.794243636861703,,1.0349380892553193,-1.0349380892553193,0.8737853933344657,,0.09233115071727398,-0.09233115071727398,,69.10495259225367,,,,0.21742849650435092,,,2650.0,2.886,0.09370140301237094,,661.5503122434378,537.068,2022,,Transit,TESS,1.35,1.87543,6543.19,0.7640550662086034,10.621,10.346,312.86075,38.329750000000004,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=194679333
TOI-5281.01,TIC 405932063,405932063.0,Candidate,5.5047275,12.716422231972789,,,,1.134485154111588,,,,,2041.2102246597933,,,,6.422365598248554,,,7530.0,4.025,0.06221078603284944,,596.2707646120285,875.436,2022,,Transit,TESS,1.06,1.47131,5865.0,0.3631748936102326,12.514,12.173,301.4649583333333,51.85693055555556,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=405932063
TOI-5282.01,TIC 329346586,329346586.0,Candidate,1.392516,9.745563876551724,,,,0.8694424685424181,,,,,68.5228262334874,,,,0.21559692214948634,,,4390.0,1.209,0.025494212219456722,,3963.2567915802942,892.373,2022,,Transit,TESS,1.14,1.44553,6082.0,0.410935405822123,12.48,12.166,269.8317916666666,49.54973888888889,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=329346586
TOI-5284.01,TIC 171312653,171312653.0,Candidate,2.0327015,21.564502686021502,,,,1.9238593770172012,,,,,56085.80372596998,,,,176.46567318161703,,,13040.0,2.019,0.03479380230221608,,4761.532856718455,1430.26,2022,,Transit,TESS,1.36,1.86158,6555.0,0.7607505684739966,12.905,12.629,298.74837499999995,36.16288333333333,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=171312653
TOI-5285.01,TIC 250330564,250330564.0,Candidate,4.3852176,10.204256624210526,,1.0587263011578947,-1.0587263011578947,0.9103643648922559,,0.0944533964837348,-0.0944533964837348,,74.08796405699762,,,,0.23310680392228655,,,18080.0,2.188,0.045137847211879925,,69.69730984519222,187.506,2022,,Transit,TESS,0.638,0.755672,4076.0,-0.8477023000358813,11.71,10.911,340.9691249999999,-1.8385500000000001,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=250330564
TOI-5286.01,TIC 301035553,301035553.0,Candidate,3.2988824,9.733515568,,,,0.8683675886009735,,,,,68.37906172279811,,,,0.21514458841308556,,,11160.0,2.352,0.04365672269060285,,415.2771611363357,533.065,2022,,Transit,TESS,1.02,0.901168,5735.0,-0.10155969275095947,12.551,12.177,3.0351666666666666,-4.612958333333333,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=301035553
TOI-5287.01,TIC 909930,909930.0,Candidate,4.1976789,14.694661077192984,,1.0169450483040936,-1.0169450483040936,1.3109721061999184,,0.09072591636250685,-0.09072591636250685,,36288.79116923132,,,,114.17730579227383,,,6960.0,3.829,0.05304431038434927,,1265.8515754401726,357.584,2022,,Transit,TESS,1.13,1.71326,6058.0,0.551660401711418,10.079,9.647,328.03866666666664,-8.419663888888888,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=909930
TOI-5289.01,TIC 176279915,176279915.0,Candidate,3.4411264,4.901492317957446,,0.36832076440851064,-0.36832076440851064,0.4372826071891175,,0.03285943416709452,-0.03285943416709452,,21.33439591420036,,,,0.06712551638409095,,,2660.0,2.669,0.043004074326821976,,326.29651858241255,258.455,2022,,Transit,TESS,0.896,0.941116,5244.0,-0.21936835227175963,11.17,10.656,0.7600833333333332,-7.786416666666667,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=176279915
TOI-5290.01,TIC 224217761,224217761.0,Candidate,2.5688104,,,,,,,,,,,,,,,,,9670.0,2.198,,,,,2022,,Transit,TESS,,,,,12.553,12.126,343.32354166666664,-0.1683472222222222,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=224217761
TOI-5291.01,TIC 250983039,250983039.0,Candidate,2.3007511,6.243165352066116,,0.470463045,-0.470463045,0.5569788638171109,,0.04197197374971326,-0.04197197374971326,,32.172032718234284,,,,0.10122453516014111,,,2390.0,1.35,0.0339936663408865,,1125.6509862793582,236.736,2022,,Transit,TESS,0.99,1.21035,5603.0,0.11419977091488506,10.239,9.809,338.73320833333327,-11.363238888888889,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=250983039
TOI-5294.01,TIC 422486295,422486295.0,Candidate,5.6707432,,,,,,,,,,,,,,,,,7770.0,2.294,,,97.4725,269.595,2022,,Transit,TESS,,,5462.73,,10.851,10.367,351.4677083333333,4.454897222222223,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=422486295
